0x55,"U",0.15490625,0.1684,0.166325,0.1443,0.1406,
0x56,"V",0.13176875,0.117875,0.11435,0.146825,0.148025,
0x57,"W",0.23904375,0.21755,0.217525,0.259525,0.261575,
0x58,"X",0.15081875,0.1514,0.146825,0.154275,0.150775,
0x59,"Y",0.110675,0.079475,0.059175,0.150925,0.153125,
0x5A,"Z",0.15530625,0.100775,0.20985,0.094575,0.216025,
0x5B,"[",0.0802375,0.0226,0.15,0.1125,0.03585,
0x5C,"\",0.0521375,0.0971,0.00355,0.0967,0.0112,
0x5D,"]",0.0802375,0.14,0.0326,0.04335,0.105,
0x5E,"^",0.05930625,0.014425,0.014525,0.08675,0.121525,
0x5F,"_",0.0263625,0.052725,0.052725,0,0,
0x60,"`",0.01170625,0,0,0.039575,0.00725,
0x61,"a",0.1286375,0.1928,0.16485,0.07505,0.08185,
0x62,"b",0.1394875,0.1425,0.157625,0.167975,0.08985,
0x63,"c",0.0981125,0.0854,0.14125,0.078675,0.087125,
0x64,"d",0.13949375,0.153775,0.15215,0.086825,0.165225,
0x65,"e",0.1261625,0.1551,0.1873,0.0805,0.08175,
0x66,"f",0.07600625,0.04485,0.069,0.08815,0.102025,
0x67,"g",0.1447,0.2128,0.18295,0.08545,0.0976,
0x68,"h",0.124575,0.124175,0.117875,0.1668,0.08945,
0x69,"i",0.0538125,0.05865,0.0621,0.0486,0.0459,
0x6A,"j",0.067625,0.078725,0.099125,0.04905,0.0436,
0x6B,"k",0.1195625,0.1247,0.155475,0.128375,0.0697,
0x6C,"l",0.060775,0.05865,0.05865,0.0629,0.0629,
0x6D,"m",0.16584375,0.17955,0.179775,0.160725,0.143325,
0x6E,"n",0.10693125,0.12075,0.1178,0.098875,0.0903,
0x6F,"o",0.11505,0.14295,0.148375,0.08485,0.084025,
0x70,"p",0.1370625,0.145775,0.213075,0.101425,0.087975,
0x71,"q",0.13795625,0.214475,0.149975,0.08595,0.101425,
0x72,"r",0.05854375,0,0.117575,0.06345,0.05315,
0x73,"s",0.1100125,0.15115,0.1397,0.080975,0.068225,
0x74,"t",0.073025,0.06775,0.0706,0.09125,0.0625,
0x75,"u",0.107825,0.15715,0.1499,0.062125,0.062125,
0x76,"v",0.08710625,0.1047,0.1122,0.067675,0.06385,
0x77,"w",0.15174375,0.1958,0.19445,0.1123,0.104425,
0x78,"x",0.10133125,0.12745,0.13085,0.0759,0.071125,
0x79,"y",0.1034375,0.1199,0.1626,0.066575,0.064675,
0x7A,"z",0.10464375,0.09705,0.153525,0.062,0.106,
0x7B,"{",0.07723125,0.04625,0.13355,0.065525,0.0636,
0x7C,"|",0.0582,0.03105,0.07935,0.087975,0.034425,
0x7D,"}",0.0764375,0.1309,0.04765,0.0635,0.0637,
0x7E,"~",0.05085,0.102225,0.099575,0,0.0016,
0xA0," ",0,0,0,0,0,
0xA1,"¡",0.051125,0.075325,0.089225,0.02155,0.0184,
0xA2,"¢",0.1202875,0.101225,0.184325,0.079575,0.116025,
0xA3,"£",0.1323625,0.0886,0.163625,0.167175,0.11005,
0xA4,"¤",0.09486875,0.095025,0.096475,0.095075,0.0929,
0xA5,"¥",0.13606875,0.104475,0.12045,0.160475,0.158875,
0xA6,"¦",0.0448,0.0252,0.0644,0.0644,0.0252,
0xA7,"§",0.1653625,0.219125,0.16345,0.16675,0.112125,
0xA8,"¨",0.01775,0,0,0.035,0.036,
0xA9,"©",0.15388125,0.14005,0.156625,0.17185,0.147,
0xAA,"ª",0.05623125,0,0,0.104575,0.12035,
0xAB,"«",0.04793125,0.073575,0.07355,0.022275,0.022325,
0xAC,"¬",0.056675,0.0911,0.0245,0.0539,0.0572,
0xAD,"­",0,0,0,0,0,
0xAE,"®",0.161325,0.1457,0.1515,0.17805,0.17005,
0xAF,"¯",0.01705,0,0,0.0341,0.0341,
